,Unnamed: 0,person_id,gt_poi,start,end,x_centroid,y_centroid,gt_labeling,dur
223,105,57_1,FN3,2021-12-13 10:28:33.029,2021-12-13 10:30:00.935,20.848303135939712,4.57076124483959,7,87.906
224,106,57_1,ES3,2021-12-13 10:30:06.005,2021-12-13 10:30:21.930,20.38918393781405,6.103114066605452,8,15.925
225,107,57_1,ES2,2021-12-13 10:30:25.001,2021-12-13 10:30:47.995,19.23511065886076,6.205097686849654,9,22.994
227,109,57_1,EN4,2021-12-13 10:31:07.097,2021-12-13 10:32:43.966,21.56367219912697,8.626724616401608,11,96.869
228,110,57_1,EN3,2021-12-13 10:32:45.073,2021-12-13 10:32:59.962,20.39124973106965,8.435473640937929,12,14.889
229,111,57_1,EN2,2021-12-13 10:33:02.068,2021-12-13 10:33:21.956,19.719957642381985,8.602844230145244,13,19.888
231,113,57_1,DN2,2021-12-13 10:33:40.059,2021-12-13 10:34:10.944,19.715994699201094,12.499294867590876,15,30.885
232,114,57_1,AN3,2021-12-13 10:34:37.045,2021-12-13 10:35:17.927,5.524968934257026,11.946714539809609,16,40.882
233,115,57_1,AN2,2021-12-13 10:35:22.033,2021-12-13 10:36:27.910,4.033274859543714,12.637630492782586,17,65.877
234,116,57_1,AS1,2021-12-13 10:36:39.014,2021-12-13 10:36:52.904,2.6443652620913447,9.858937451262587,18,13.89
235,117,57_1,AS2,2021-12-13 10:36:58.009,2021-12-13 10:37:35.000,5.203644155797907,9.802576164101126,19,36.991
236,118,57_1,BN3,2021-12-13 10:37:40.070,2021-12-13 10:38:31.986,5.43355382245971,8.117600765662948,20,51.916
237,119,57_1,BN2,2021-12-13 10:38:35.057,2021-12-13 10:39:20.974,4.374424009129611,7.958321679526641,21,45.917
238,415,57_2,*,2021-12-13 11:19:13.825,2021-12-13 11:19:28.965,7.953964525861534,6.969478089333142,1,15.14
239,293,57_2,BN2,2021-12-13 11:19:34.070,2021-12-13 11:22:48.915,4.357668992548335,7.965585462581148,2,194.845
240,294,57_2,BN1,2021-12-13 11:22:51.021,2021-12-13 11:23:25.905,2.895670320937449,8.43629903473193,3,34.884
241,295,57_2,BS2,2021-12-13 11:23:36.010,2021-12-13 11:25:01.988,4.273364620188883,6.258450791454513,4,85.978
243,297,57_2,CS1,2021-12-13 11:25:27.053,2021-12-13 11:25:37.122,3.3848357421645083,1.8504323053989595,6,10.069
244,298,57_2,CS2,2021-12-13 11:25:39.050,2021-12-13 11:27:05.957,4.108481238267643,2.0309388011441247,7,86.907
245,299,57_2,ES3,2021-12-13 11:28:02.015,2021-12-13 11:28:30.936,22.096510836334364,6.117987435574241,8,28.921
249,303,57_2,BN2,2021-12-13 11:30:08.055,2021-12-13 11:31:21.965,4.356010723517754,8.223591553767763,12,73.91
250,304,57_2,BN3,2021-12-13 11:31:25.035,2021-12-13 11:32:05.954,5.0208524931091,8.337402551233845,13,40.919
254,308,57_2,BS2,2021-12-13 11:33:43.001,2021-12-13 11:34:03.746,4.4830593217103205,6.347484900498678,17,20.745
255,390,67_1,*,2021-12-13 10:23:36.217,2021-12-13 10:24:29.847,13.239347741981616,5.388606202950585,1,53.63
256,120,67_1,FN2,2021-12-13 10:24:43.022,2021-12-13 10:24:53.091,19.80458686612545,4.314078501609562,2,10.069
257,121,67_1,FN3,2021-12-13 10:24:56.019,2021-12-13 10:25:17.942,21.047244972644112,4.259451330892366,3,21.923
258,122,67_1,FS3,2021-12-13 10:25:23.012,2021-12-13 10:25:38.937,21.48291310817465,2.411020326333841,4,15.925
260,124,67_1,FS1,2021-12-13 10:25:53.004,2021-12-13 10:26:03.073,18.20005392825907,2.6947430460575945,6,10.069
261,125,67_1,EN1,2021-12-13 10:26:14.071,2021-12-13 10:26:33.994,18.58193504159094,8.10315551868537,7,19.923
262,126,67_1,EN4,2021-12-13 10:26:44.063,2021-12-13 10:27:03.987,21.57651084139165,8.20084427471216,8,19.924
263,127,67_1,ES3,2021-12-13 10:27:08.057,2021-12-13 10:27:39.978,20.862705117503864,6.400793782600616,9,31.921
266,130,67_1,DS3,2021-12-13 10:28:12.041,2021-12-13 10:28:50.960,19.91101185242227,10.28660873135127,12,38.919
267,131,67_1,DS4,2021-12-13 10:28:52.031,2021-12-13 10:29:09.955,21.62679753728965,10.47100070693644,13,17.924
